source	term_id	term_name	query_size	background_size	term_size_in_background	overlap_size	overlap_genes	p_value	bh_q	query_overlap_ge_2	bh_significant	analysis_label	interpretation	limitation	annotation_release
GO:BP	GO:0007586	digestion	4	15851	78	3	AQP5;MUC6;PGC	4.5690605248477755e-07	0.006105178673301598	YES	YES	EXPLORATORY	REPORTABLE_FUNCTIONAL_COHERENCE_OF_FROZEN_MARKERS	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0022600	digestive system process	4	15851	64	2	AQP5;MUC6	9.578951335115882e-05	0.6399697386990921	YES	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002803	positive regulation of antibacterial peptide production	4	15851	2	1	PGC	0.0005046522555175195	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002225	positive regulation of antimicrobial peptide production	4	15851	3	1	PGC	0.0007569067441904912	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002786	regulation of antibacterial peptide production	4	15851	3	1	PGC	0.0007569067441904912	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002760	positive regulation of antimicrobial humoral response	4	15851	4	1	PGC	0.0010091134815089695	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002784	regulation of antimicrobial peptide production	4	15851	4	1	PGC	0.0010091134815089695	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0030157	pancreatic juice secretion	4	15851	5	1	AQP5	0.0012612724734995017	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0002759	regulation of antimicrobial humoral response	4	15851	6	1	PGC	0.0015133837261882559	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
GO:BP	GO:0015670	carbon dioxide transport	4	15851	6	1	AQP5	0.0015133837261882559	1.0	NO	NO	EXPLORATORY	TESTED_NOT_REPORTABLE_UNDER_FULL_FAMILY_BH_AND_OVERLAP_RULE	Four-gene marker set; annotation dependence; no direction, mechanism, disease effect, or causal inference.	releases/2026-07-26
