run_id	analysis_arm_id	dataset_identifier	state_id	state_name	state_role	registered_gene_count	mapped_gene_count	missing_gene_count	mapped_genes	missing_genes	coverage_proportion	frozen_coverage_requirement	coverage_status	represented_cell_count	represented_sample_count	represented_donor_count	representation_count_definition	classification	classification_rule	scientific_computation_performed
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP01	LND	PRIMARY	3	3	0	LCN2;NOS2;DUOX2	NA_NONE	1	>=max(3,ceiling(0.80*3))=3	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP02	INFLARE	PRIMARY	4	4	0	MUC6;BPIFB1;AQP5;PGC	NA_NONE	1	>=max(3,ceiling(0.80*4))=4	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP03	REGENERATIVE	PRIMARY	4	4	0	CLU;ANXA1;SOX9;TACSTD2	NA_NONE	1	>=max(3,ceiling(0.80*4))=4	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP04	SECRETORY_DIFFERENTIATION	PRIMARY	3	3	0	ATOH1;SPDEF;DLL1	NA_NONE	1	>=max(3,ceiling(0.80*3))=3	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP05	GENERIC_STRESS	EXPLORATORY	7	7	0	FOS;JUN;JUNB;ATF3;HSPA1A;HSPA1B;DDIT3	NA_NONE	1	>=max(3,ceiling(0.80*7))=6	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP06	CYCLING_TA	EXPLORATORY	6	6	0	MKI67;TOP2A;PCNA;UBE2C;CENPF;TUBA1B	NA_NONE	1	>=max(3,ceiling(0.80*6))=5	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M01	SCP259	SP07	ANTIMICROBIAL	EXPLORATORY	4	4	0	DEFA5;DEFA6;LYZ;REG3A	NA_NONE	1	>=max(3,ceiling(0.80*4))=4	PASS	11409	16	14	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	AVAILABLE	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M02	SCP1884	SP01	LND	PRIMARY	3	3	0	LCN2;NOS2;DUOX2	NA_NONE	1	>=max(3,ceiling(0.80*3))=3	PASS	10174	8	5	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	LIMITED	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M02	SCP1884	SP02	INFLARE	PRIMARY	4	4	0	MUC6;BPIFB1;AQP5;PGC	NA_NONE	1	>=max(3,ceiling(0.80*4))=4	PASS	10174	8	5	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	LIMITED	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
C1R_P3B2_REEXEC_20260914	M02	SCP1884	SP03	REGENERATIVE	PRIMARY	4	4	0	CLU;ANXA1;SOX9;TACSTD2	NA_NONE	1	>=max(3,ceiling(0.80*4))=4	PASS	10174	8	5	FROZEN_ELIGIBLE_LINKED_CELLS_SAMPLES_DONORS_FOR_WHICH_SCORE_WOULD_BE_STRUCTURALLY_COMPUTABLE; NOT_STATE_ASSIGNMENT_OR_SCORE_POSITIVITY	LIMITED	NOT_REPRESENTED if frozen coverage fails or zero eligible cells; LIMITED if coverage passes with partial gene coverage, bounded SCP1884 metadata, or donor count at floor; otherwise AVAILABLE	NONE_NO_STATE_SCORE_NO_CELL_CLASSIFICATION
