test_id	arm	program_id	state_id	family	role	status	failure_reason	n_complete_donors	beta	hc3_se	ci95_lower	ci95_upper	wald_z	raw_p	p_for_bh	bh_adjusted_p	passes_family_bh_0_05	direction	multiplicity_note	max_statsmodels_crosscheck_delta
T_M01_GP_IBD_GCST004131_V1_SP01	M01	GP_IBD_GCST004131_V1	SP01	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	0.48992124384949348	0.33343426114833813	-0.16359789921297224	1.1434403869119592	1.4693188461264257	0.14174632743441409	0.14174632743441409	0.28349265486882819	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY	1.3877787807814457e-15
T_M02_GP_IBD_GCST004131_V1_SP01	M02	GP_IBD_GCST004131_V1	SP01	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	0.53878379360697926	0.70294809329035635	-0.83896915224322122	1.9165367394571797	0.76646312686480511	0.44340078382695514	0.44340078382695514	0.50674375294509155	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY	2.55351295663786e-15
T_M01_GP_IBD_GCST004131_V1_SP02	M01	GP_IBD_GCST004131_V1	SP02	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.77581543362900307	0.21921547236482819	-1.205469864318002	-0.34616100294000429	-3.5390541792499772	0.00040156342648980741	0.00040156342648980741	0.0016062537059592296	YES	NEGATIVE	PRIMARY_COMPLETE_FAMILY	2.3869795029440866e-15
T_M02_GP_IBD_GCST004131_V1_SP02	M02	GP_IBD_GCST004131_V1	SP02	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	-0.98770436525753424	0.13633375855370905	-1.2549136218997834	-0.72049510861528498	-7.2447526990787496	4.3322895781538111e-13	4.3322895781538111e-13	3.4658316625230489e-12	YES	NEGATIVE	PRIMARY_COMPLETE_FAMILY	3.6082248300317588e-16
T_M01_GP_IBD_GCST004131_V1_SP03	M01	GP_IBD_GCST004131_V1	SP03	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.39779199630218448	0.38573046974049935	-1.1538098247332804	0.3582258321289114	-1.031269312403035	0.30241454488830133	0.30241454488830133	0.48386327182128214	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY	4.6629367034256575e-15
T_M02_GP_IBD_GCST004131_V1_SP03	M02	GP_IBD_GCST004131_V1	SP03	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	0.58415244315316417	0.68937346942286926	-0.76699472881308384	1.9352996151194122	0.84736716607647489	0.39679049974952152	0.39679049974952152	0.50674375294509155	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY	5.773159728050814e-15
T_M01_GP_IBD_GCST004131_V1_SP04	M01	GP_IBD_GCST004131_V1	SP04	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.73127718066162639	0.34515243965212761	-1.4077635315559309	-0.054790829767321858	-2.1187078422469399	0.03411516518084938	0.03411516518084938	0.090973773815598347	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY	9.9920072216264089e-16
T_M02_GP_IBD_GCST004131_V1_SP04	M02	GP_IBD_GCST004131_V1	SP04	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	-0.39001792487707632	0.72857024919090529	-1.8179893734986232	1.0379535237444706	-0.5353195869721562	0.59242888437970198	0.59242888437970198	0.59242888437970198	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY	6.3282712403633923e-15
T_M01_GP_CD_GCST004132_V1_SP01	M01	GP_CD_GCST004132_V1	SP01	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.26106399568591221	0.37485832686331555	-0.47364482427112975	0.99577281564295417	0.69643376437814564	0.48615722411145845	0.48615722411145845	0.61874555796003794	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	9.9920072216264089e-16
T_M02_GP_CD_GCST004132_V1_SP01	M02	GP_CD_GCST004132_V1	SP01	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.50708961188971902	0.6790654246574449	-0.82385416358527053	1.8380333873647086	0.74674632734470436	0.45521669946066956	0.45521669946066956	0.61874555796003794	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.7763568394002505e-15
T_M01_GP_CD_GCST004132_V1_SP02	M01	GP_CD_GCST004132_V1	SP02	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.88800679044356845	0.15782905518436366	-1.1973460543189058	-0.57866752656823106	-5.6263834907094123	1.8402698179205446e-08	1.8402698179205446e-08	1.2881888725443813e-07	YES	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	3.0531133177191805e-16
T_M02_GP_CD_GCST004132_V1_SP02	M02	GP_CD_GCST004132_V1	SP02	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	-0.98583073330736781	0.1353385559597981	-1.2510894287082308	-0.72057203790650481	-7.2841824439164684	3.2362681004151111e-13	3.2362681004151111e-13	4.5307753405811556e-12	YES	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	9.7144514654701197e-16
T_M01_GP_CD_GCST004132_V1_SP03	M01	GP_CD_GCST004132_V1	SP03	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.36568310352817796	0.32885511245679644	-1.0102272800753682	0.27886107301901236	-1.1119885009427057	0.26614309450375906	0.26614309450375906	0.53228618900751812	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	2.1094237467877974e-15
T_M02_GP_CD_GCST004132_V1_SP03	M02	GP_CD_GCST004132_V1	SP03	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.5250948803901111	0.65746143618253738	-0.76350585575164132	1.8136956165318634	0.7986702359898169	0.42448164968958613	0.42448164968958613	0.61874555796003794	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	4.5519144009631418e-15
T_M01_GP_CD_GCST004132_V1_SP04	M01	GP_CD_GCST004132_V1	SP04	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.76202246816657859	0.30106972966378864	-1.3521082951428147	-0.17193664119034247	-2.5310497638455591	0.01137217128177005	0.01137217128177005	0.031842079588956143	YES	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	1.5543122344752192e-15
T_M02_GP_CD_GCST004132_V1_SP04	M02	GP_CD_GCST004132_V1	SP04	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	-0.3866695333008629	0.73274713419806459	-1.8228275261040072	1.0494884595022813	-0.52769845865592224	0.59770864321757589	0.59770864321757589	0.64400231284852483	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	4.3298697960381105e-15
T_M01_GP_CD_GCST004132_V1_SP05	M01	GP_CD_GCST004132_V1	SP05	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.56606595938832682	0.20418106498755753	0.16587842568768185	0.96625349308897179	2.7723724500252849	0.0055649323569585563	0.0055649323569585563	0.019477263249354948	YES	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	2.4980018054066022e-16
T_M02_GP_CD_GCST004132_V1_SP05	M02	GP_CD_GCST004132_V1	SP05	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.93389571155616624	0.32485640408448174	0.29718885940339157	1.5706025637089409	2.8747954475088586	0.0040428932525825587	0.0040428932525825587	0.018866835178718608	YES	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	8.8817841970012523e-16
T_M01_GP_CD_GCST004132_V1_SP06	M01	GP_CD_GCST004132_V1	SP06	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.24735026914401348	0.32434237205639793	-0.38834909874681689	0.88304963703484385	0.76262089216330708	0.44568952120103844	0.44568952120103844	0.61874555796003794	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	5.5511151231257827e-17
T_M02_GP_CD_GCST004132_V1_SP06	M02	GP_CD_GCST004132_V1	SP06	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.75401832514672129	0.59896473716231757	-0.41993098770092085	1.9279676379943633	1.2588693096007497	0.20807754073154805	0.20807754073154805	0.48551426170694545	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	3.6637359812630166e-15
T_M01_GP_CD_GCST004132_V1_SP07	M01	GP_CD_GCST004132_V1	SP07	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.21857524838689874	0.41453692835713063	-0.59390220145493799	1.0310526982287354	0.52727569833921395	0.59800214764505877	0.59800214764505877	0.64400231284852483	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.8873791418627661e-15
T_M02_GP_CD_GCST004132_V1_SP07	M02	GP_CD_GCST004132_V1	SP07	E_CD_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.11078371378965048	0.52100263549479053	-0.9103626876305887	1.1319301152098897	0.2126356111124858	0.83161119291924646	0.83161119291924646	0.83161119291924646	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	2.6645352591003757e-15
T_M01_GP_UC_GCST004133_V1_SP01	M01	GP_UC_GCST004133_V1	SP01	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.59176303613883341	0.27333319419766072	0.056039819732125906	1.1274862525455409	2.1649878196312313	0.030388618071419633	0.030388618071419633	0.14181355099995829	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.6653345369377348e-16
T_M02_GP_UC_GCST004133_V1_SP01	M02	GP_UC_GCST004133_V1	SP01	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.56749268637431305	0.73148987118528785	-0.86620111620469453	2.0011864889533206	0.77580388837751391	0.43786478773840076	0.43786478773840076	0.61301070283376102	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	4.1078251911130792e-15
T_M01_GP_UC_GCST004133_V1_SP02	M01	GP_UC_GCST004133_V1	SP02	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.59475015442083234	0.31478754431811606	-1.2117224040661458	0.022222095224481264	-1.8893700375253519	0.058842262807407474	0.058842262807407474	0.20594791982592617	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	1.4432899320127035e-15
T_M02_GP_UC_GCST004133_V1_SP02	M02	GP_UC_GCST004133_V1	SP02	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	-0.9830515910341201	0.19276433716929131	-1.3608627493896668	-0.60524043267857341	-5.0997586248060776	3.4008689279365243e-07	3.4008689279365243e-07	4.7612164991111342e-06	YES	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	7.4384942649885488e-15
T_M01_GP_UC_GCST004133_V1_SP03	M01	GP_UC_GCST004133_V1	SP03	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.43867422715861276	0.44731965325315809	-1.3154046371117478	0.43805618279452235	-0.98067282304349701	0.32675410992498355	0.32675410992498355	0.57225344430540903	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	1.3322676295501878e-15
T_M02_GP_UC_GCST004133_V1_SP03	M02	GP_UC_GCST004133_V1	SP03	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.64550624126140621	0.72071530888587876	-0.76706980726157659	2.0580822897843891	0.89564663508988751	0.37044152017911747	0.37044152017911747	0.57624236472307155	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	2.886579864025407e-15
T_M01_GP_UC_GCST004133_V1_SP04	M01	GP_UC_GCST004133_V1	SP04	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	-0.59687330402202843	0.42875402372034926	-1.437215748740545	0.24346914069648817	-1.3921112596049556	0.1638887091543032	0.1638887091543032	0.38240698802670742	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	2.1094237467877974e-15
T_M02_GP_UC_GCST004133_V1_SP04	M02	GP_UC_GCST004133_V1	SP04	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	-0.38621991425151758	0.72339831453186154	-1.8040545572109443	1.0316147287079089	-0.53389661890690898	0.59341306145085659	0.59341306145085659	0.63906022002399943	NO	NEGATIVE	EXPLORATORY_NOT_CONFIRMATORY	1.1435297153639112e-14
T_M01_GP_UC_GCST004133_V1_SP05	M01	GP_UC_GCST004133_V1	SP05	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.27583454048742173	0.28141485901387359	-0.27572844789418749	0.82739752886903095	0.98017049083333319	0.32700196817451943	0.32700196817451943	0.57225344430540903	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.6653345369377348e-15
T_M02_GP_UC_GCST004133_V1_SP05	M02	GP_UC_GCST004133_V1	SP05	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.97427718211812631	0.20238510117817821	0.57760967280140219	1.3709446914348504	4.8139768018811848	1.4795599060088543e-06	1.4795599060088543e-06	1.035691934206198e-05	YES	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.0269562977782698e-15
T_M01_GP_UC_GCST004133_V1_SP06	M01	GP_UC_GCST004133_V1	SP06	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.22242360982067649	0.36514519410879342	-0.49324781976044568	0.93809503940179861	0.60913744288362826	0.54243334099982632	0.54243334099982632	0.63906022002399943	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	2.2204460492503131e-16
T_M02_GP_UC_GCST004133_V1_SP06	M02	GP_UC_GCST004133_V1	SP06	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.84750627944310264	0.54267259466750262	-0.21611246150210539	1.9111250203883108	1.5617266981436067	0.11835238649839119	0.11835238649839119	0.33138668219549533	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	2.1094237467877974e-15
T_M01_GP_UC_GCST004133_V1_SP07	M01	GP_UC_GCST004133_V1	SP07	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	14	0.31335937575424261	0.52172092953046434	-0.70919485610622712	1.3359136076147122	0.60062642308840886	0.5480888348034374	0.5480888348034374	0.63906022002399943	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	1.8873791418627661e-15
T_M02_GP_UC_GCST004133_V1_SP07	M02	GP_UC_GCST004133_V1	SP07	E_UC_14	EXPLORATORY	ESTIMABLE	NA_NONE	5	0.18177016576622573	0.58379761416209153	-0.96245213225188431	1.3259924637843357	0.31135818536551474	0.75552833833294619	0.75552833833294619	0.75552833833294619	NO	POSITIVE	EXPLORATORY_NOT_CONFIRMATORY	4.6629367034256575e-15
